ID_Auditoria,Fecha,Linea,Estacion,Direccion_Anomalia,Impacto_Pasajeros,Afluencia,Estatus_Investigacion,Hallazgo_Principal,Descripcion_Incidente,Link_Fuente_1,Link_Fuente_2,Observaciones
ANOM-278,2025-04-13 0:00:00,linea 1,pantitlán,Baja (Caída atípica),-7030,15101,Terminado,Falla Oculta (No hay reporte oficial del incidente),falta de trenes en varias estaciones este día,https://www.nmas.com.mx/ciudad-de-mexico/que-lineas-metro-cdmx-tienen-retrasos-tarde-hoy-13-de-abril-2026-lista-estaciones/,,"Por la mañana solo había 10 trenes en las siguientes estaciones, lo que provocó aglomeraciones y caos en las estaciones. 
Líneas 1,2,3,7,8,9, B y 12 mientras que en estas tan solo habia 3 trenes 4,5,6 y A."
ANOM-180,2024-03-28 0:00:00,linea 2,chabacano,Baja (Caída atípica),-7086,14975,Terminado,Falla Oculta (No hay reporte oficial del incidente),Usuarios registraron retraso en pasar el tren,https://www.adn40.mx/ciudad/metro-cdmx-hoy-28-marzo-2024-lineas-2-8-a-b-retrasos-mas-20-minutos/,,Retrasos en el servicio sin registro de la causa oficial
ANOM-349,2025-12-25 0:00:00,linea 5,pantitlán,Baja (Caída atípica),-7256,19703,Terminado,Feriado No Oficial / Cultural,operó con el horario especial de día festivo (07:00 a 24:00 horas) y registró retrasos significativos,https://www.google.com/amp/s/www.tvazteca.com/aztecanoticias/que-pasa-metro-cdmx-hoy-jueves-25-diciembre-2025/%3f_amp=true,,
ANOM-205,2024-05-10 0:00:00,linea a,tepalcates,Baja (Caída atípica),-7432,23338,Terminado,Feriado No Oficial / Cultural,se reportaron algunos retrasos en el servicio por el festejo del día de las madres,,,
ANOM-266,2025-02-03 0:00:00,linea 12,insurgentes sur,Baja (Caída atípica),-7611,12584,Terminado,"Falla Mecánica (Tren averiado, puertas, desalojo)",Se realiza un corte de corriente y maniobras en la Línea 12 para rescatar a un perrito de zona de vista,https://x.com/MetroCDMX/status/1886584732328108369?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1886584732328108369%7Ctwgr%5Ee9200205aed1976aa47522b18bbcc531dbf44767%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.tvazteca.com%2Faztecanoticias%2Fmetro-cdmx-en-vivo-que-pasa-hoy-lunes-3-febrero-2025-minuto-a-minuto,,
ANOM-273,2025-03-09 0:00:00,linea 12,insurgentes sur,Baja (Caída atípica),-7627,13383,Terminado,"Evento Masivo (Concierto, partido, manifestación)",Bloqueo en Insurgentes Sur afectó la circulación y el servicio del Metrobús,https://www.adn40.mx/ciudad/2025-03-19/bloqueo-ambos-sentidos-insurgentes-sur-cierre-estaciones-metrobus/,,
ANOM-259,2024-12-24 0:00:00,linea 7,san joaquín,Baja (Caída atípica),-7736,14428,Terminado,"Incidente Externo (Persona en vías, riña, salud)", se realizan maniobras para retirar persona ajena que bajó a vías de la Línea 7,https://heraldodemexico.com.mx/nacional/2024/12/24/que-pasa-en-las-lineas-del-metro-hoy-24-de-diciembre-de-2024-663840.html,,
ANOM-141,2023-10-30 0:00:00,linea b,ecatepec,Baja (Caída atípica),-7832,16181,Terminado,Falla Oculta (No hay reporte oficial del incidente),Usuarios registraron largas esperas,https://www.infobae.com/mexico/2023/10/30/metro-y-metrobus-cdmx-hoy-noticias-retrasos-avances-y-fallas-en-las-lineas-este-30-de-octubre/,,Se registraron esperadas de hasta 30 minutos y falta de unidades pero ninguna causa registrada oficialmente
ANOM-223,2024-08-31 0:00:00,linea 7,barranca del muerto,Baja (Caída atípica),-7938,15079,Terminado,"Cierre Programado (Mantenimiento, remodelación)",cerró temprano por mantenimiento,https://www.infobae.com/mexico/2024/08/29/suspenden-servicio-en-la-linea-7-del-metro-cdmx-que-estaciones-cerraran-temprano-fecha-y-horario/,,
ANOM-313,2025-09-15 0:00:00,linea b,nezahualcóyotl,Baja (Caída atípica),-8025,13800,Terminado,Clima Extremo (Inundaciones severas),experimentó una jornada marcada principalmente por retrasos en el servicio y afectaciones derivadas de condiciones climáticas extremas en la zona.,https://www.jornada.com.mx/noticia/2025/09/15/estados/tromba-deja-severas-inundaciones-en-nezahualcoyotl-y-la-paz,,
